article;brand;name;product_type;country;price_actual;price_loyalty;url;popularity_coefficient;description;application
19000342979;ESSENTIAL PARFUMS PARIS;ESSENTIAL PARFUMS PARIS BOIS IMPERIAL by Quentin Bisch;экстракт;Франция;16310;8155;https://goldapple.ru/19000342979-bois-imperial-by-quentin-bisch;244.4;Парфюмер – Quentin Bisch. «В этой концентрированной версии BOIS IMPÉRIAL я усилил контрасты для абсолютного обольщения».  Черный перец делает композицию ESSENTIAL PARFUMS более взрывной, а атласский кедр и абсолют розы — насыщенной и глубокой. Древесный шлейф дополнен яркими нотами лабданума и пихтового бальзама, которые придают аромату новое ощущение зависимости и силы. В составе парфюмерного экстракта – 87% натуральных ингредиентов.  Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду.;Только для наружного применения.
19000166825;Mind Games;MIND GAMES J'Adoube;экстракт;США;28292;25462;https://goldapple.ru/19000166825-j-adoube;117.6;J’ADOUBE — я двигаюсь, но остаюсь прежним. Интригующие гранат, роза и мандарин устремляются в сладость. Аромат эволюционирует в глубокую базу из кожи, пачули и амбростара и фокусируется на хаосе, но сохраняет свою спонтанность и свободу. Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.;Распылите на кожу с расстояния 20-30 см.
19000220508;Mind Games;MIND GAMES LIONORA;экстракт;США;28292;25462;https://goldapple.ru/19000220508-lionora;63.48;Коллекция soulmate воплощает силу и единство пешек, коллективную уверенность и стремление поддерживать друг друга. По характеру пешка — решительная, амбициозная и бесстрашная фигура.  Каждый аромат продуман, чтобы вы могли носить его самостоятельно или наслаивать с другими, создавая неповторимую композицию. Дизайн флаконов изящен, современен и сдержан — тонкие детали намекают на защитный слой брони. Разожгите страсть и откройте в себе лучшее с soulmate. Lionora прославляет соблазнительное очарование грации, красоты и мудрости. Сочные ноты фруктов и цветов утопают в медовых, животных нотах османтуса, прежде чем раствориться в мягких и сливочных нотах сандалового дерева.  Композиция запечатляет страсть и романтику влюбленности, а также неоспоримую силу настоящей любви.;Распылите на кожу с расстояния 20-30 см.
19000215491;TUMI;TUMI 19 degree;экстракт;США;19395;10667;https://goldapple.ru/19000215491;30.6;Интенсивный и насыщенный аромат 19 DEGREE – это выход за привычные рамки и громкое заявление. Смелая композиция TUMI с амбровым, древесным и кожаным аккордами раскрывает свой уверенный и соблазнительный характер благодаря яркому переплетению нот и контрасту качественных ингредиентов.  Передать концепцию возвышенной мужественности позволяют элегантные верхние ноты бергамота и тимьяна в сочетании с экзотическим шафраном. Притягательное сердце аромата объединило сочность интригующей черной малины, мягкую чувственность замши и древесную свежесть березовой воды.  Постепенно раскрывая свою силу, композиция бросает вызов с помощью яркой ноты кожи, которая сливается с выразительным теплом сандала и мускуса.;Только для наружного применения.
19000269547;Amouage;AMOUAGE Honour 43;экстракт;Оман;101790;76342;https://goldapple.ru/19000269547-honour-43;28.2;«43» в названии означает 43%  - исключительную концентрацию драгоценных натуральных масел.;Духи следует наносить в небольшом количестве, близко к коже (1-2 см), на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно несколько капель. Растирать духи не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.
19000231849;Malbrum;MALBRUM Wildfire;экстракт;Италия;13613;6806;https://goldapple.ru/19000231849-wildfire;9.8;Соблазнительный аромат MALBRUM – посвящение мужчине, в сердце которого горит дикий огонь.  Этот человек, способный жить на удаленном от мира острове, умеет разжечь костер, создать убежище и выжить в диких условиях. В композиции, отражающей природную страсть и силу инстинктов, сочетаются острота специй, дымный ладан и древесина.  Аромат идеален для позднего вечера и усиления интимной ауры.  Парфюмер – Delphine Thierry.;Только для наружного применения.
99000009838;SYNONYME;SYNONYME PAOLO [01];экстракт;Россия;6600;6072;https://goldapple.ru/99000009838-paolo-01;9.4;Синоним соблазна. Блистательный. Взрыв тропических сочных фруктов на интеллигентной мускусной базе. Породистый и сексуальный, тактично заполняет пространство восхитительной красотой, неординарным и изящным шлейфом. Нуждается в нежном, неспешном знакомстве. Особенно хорошо раскрывается в микродозах.  Предпочтительный способ нанесения – вход в облако.;Аромат можно наносить на волосы, кожу, одежду.
19000231846;Malbrum;MALBRUM Tigre du bengale;экстракт;Италия;13613;6125;https://goldapple.ru/19000231846-tigre-du-bengale;7.36;Редкий, но сильный бенгальский тигр использует запахи мудро – он передает сообщения о своем статусе и территории.  Темный и пряный кожаный аромат MALBRUM – это послание о дикой энергии и естественной чувственности. Он открывается сладко и мягко, постепенно раскрывая яркий аккорд кожи, подкреплённый бальзамическими нотами лабданума и мирры.  Это мощная, стимулирующая животная энергия – используйте с осторожностью.  Парфюмер – Delphine Thierry.;Только для наружного применения.
99000009833;SYNONYME;SYNONYME ALESSANDRO [01];экстракт;Россия;7600;6992;https://goldapple.ru/99000009833-alessandro-01;5.76;Синоним абсолютной власти. Сила, красота и твердость. Его обладатель не нуждается в общественном одобрении, он сам формирует правила.  Для многих из нас это аромат на особый случай и лишь для некоторых это безжалостно красивый инструмент влияния на каждый день.;Аромат можно наносить на волосы, кожу, одежду.
19000456478;Emmanuelle Jane;EMMANUELLE JANE Golden caramel;экстракт;Франция;9900;7920;https://goldapple.ru/19000456478-golden-caramel;2.0;Бренд французской парфюмерии Emmanuelle Jane в своем творчестве объединил восточную культуру, средиземноморскую легкость и французский образ жизни. Сочетание популярных и редких нот парфюмерии позволило создать поистине шедевры парфюмерного искусства, которые сегодня пользуются большой популярностью на рынках Европы и Азии.  Бренд постоянно сотрудничает с лучшими парфюмерами со всего мира. Главная цель Emmanuelle Jane – поиск наиболее совершенных парфюмерных композиций, эффектно дополняющих образ и имидж своих потребителей. Коллекция EXTRAIT DE PARFUM – это ароматы с максимальной концентрацией натуральных компонентов, каждый из которых вызывает непередаваемые эмоции и чувства. Идеальный партнер для вашего образа. Что вы выберете сегодня: легкий флирт SANTAL WOOD, баланс и уверенность BORA BORA, чувственность и тепло GOLDEN CARAMEL, власть и притяжение L’ELOGE D’ORIENT или дерзость и страсть EXOTIC OUD. Диалог нежности и дерзости: капля карамели, щепотка имбиря и шлейф из ванили и дорогого уда.  GOLDEN CARAMEL – для тех, кто знает, что настоящая сладость должна быть со вкусом. Первое впечатление: сочный персик, спелые ягоды и бархатная карамель дарят мгновенное наслаждение. Сердце аромата: энергичный имбирь и пикантный розовый перец вносят интригу и элегантную остроту. Финальный аккорд: глубокий, продолжительный шлейф ванили, удa и мускуса, который оставляет ощущение тепла и непреодолимого притяжения. Аромат с характером и легкой дерзостью.;Распылите на расстоянии примерно 20 см от кожи, уделив особое внимание таким зонам, как запястья и шея.
19000268502;Burberry;BURBERRY Her;экстракт;Испания;19100;13370;https://goldapple.ru/19000268502-her;1.0;Аромат начинается с тихого момента — только ты, залитая золотистым светом дня, в любимом пальто, а вокруг мягко гудит мир. В этом аромате есть нечто очень личное — он словно часть тебя: знакомый, но каждый раз по-новому звучащий. Аромат Her Elixir ощущается как воспоминание, к которому прикасаешься только ты. На коже он раскрывается сладкой вспышкой спелых красных ягод, за которой следует нежная сливочность жасмина и туберозы — пышных, воздушных, наполненных уютом. В базе — тёплый амбровый аккорд и мягкая ваниль, обволакивающие, как вторая кожа. Аромат особенно красив в прохладное время года — для медленных утр или тихих вечеров с теми, кто по-настоящему близок.;Наносите парфюм на точки пульса и избегайте растирания, чтобы сохранить полноту звучания аромата.
